string_ch03_Milo_6001,"“흐음… 케이크 맛 좀 확인하러 왔지. 기대는 안 하는데, 맛있으면 또 올지도.”","“Hmm… I'm here to check out the cake. I don’t have high expectations, but if it’s good, I might come back again.”",“嗯…我是来尝尝蛋糕味道的。不抱期待，但要是好吃的话说不定还会再来。”,「嗯…我是來試試蛋糕口味的。沒抱期待啦，但要是好吃說不定還會再來。」,「ふむ…ケーキの味を確認しに来たんだ。期待はしてないけど、美味しかったらまた来るかも。」,"""Hmm… Ich bin hier, um den Kuchen zu probieren. Ich erwarte nicht viel, aber wenn er gut ist, komm ich vielleicht wieder.""",,,,,,,,,,,,,
string_ch03_Ollie_6001,“이런 디저트는 보기만 해도 즐거워요. 오늘은 오래 머물 수 있겠네요.”,"""Just looking at these desserts makes me happy. I think I can stay a long while today.""",“光看这些甜点就让人开心呢。今天可以待很久了。”,「光看這些甜點就讓人開心呢。今天可以待很久了。」,「こんなデザートは見るだけで楽しいです。今日は長くいられそうですね。」,"""Die Desserts nur anzuschauen, macht mich schon glücklich. Ich denke, ich kann heute lange hierbleiben.""",,,,,,,,,,,,,
string_ch03_Toto_6001,"“여기, 처음 봤을 때랑은 전혀 다르네요. 분위기가 한결 고급스러워졌어요.”","""Here, it's completely different from when I first saw it. The atmosphere has become much more fancy.""",“这里和初次见到时完全不同了。氛围变得更高级了呢。”,「 這裡，和初次見到時完全不同了呢。整體氛圍更顯高雅了。」,「ここ、初めて見た時とは全然違いますね。雰囲気が一段と上品になりましたよ。」,"""Hier, es ist ganz anders als vorher. Die Atmosphäre ist viel besonderer geworden.""",,,,,,,,,,,,,
string_ch03_momo_6001,“맞아요! 디저트 진열대만 봐도 벌써 눈이 즐거워요.”,“That’s right! Just looking at the dessert display is already a feast for the eyes.”,“对啊！光看甜品展示柜就赏心悦目了。”,「沒錯！光看甜點展示櫃就讓人眼睛大飽眼福了。」,「そうね！デザートショーケースを見るだけで、もう目を楽しませてくれるわ。」,"""Stimmt! Die Dessertvitrine nur anzuschauen, ist schon ein Augenschmaus.""",,,,,,,,,,,,,
string_ch03_Fifi_6003,"""손님들 눈치가 참 빠르네. 아직 반도 안 꾸몄는데 벌써 기대에 차 있잖아.""","""I haven't even finished decorating half of the place yet, and they're already excited.""",客人眼光真敏锐。还没布置到一半呢，他们就已经充满期待了。,「客人們真敏銳。裝潢還沒完成一半，期待感就滿溢出來了。」,「お客様は本当に気が利くね。まだ半分も飾り付けていないのに、もう期待に胸を膨らませているじゃないか。」,"""Ich bin noch nicht einmal halbwegs fertig, alles zu dekorieren und sie sind schon aufgeregt.""",,,,,,,,,,,,,
string_ch03_meow_6003,“응… 디저트가 화사한 게 꼭 옛날에 보던 진열대 같아.”,“Yeah… These colorful desserts remind me of the display cases I used to see.”,“嗯...这些缤纷的甜品，简直像从前看过的展示柜呢。”,「嗯...這些繽紛的甜點，簡直像從前看過的展示櫃呢。」,「うん…デザートが華やかで、昔見たショーケースみたいだわ。」,"""Ja… diese bunten Desserts erinnern mich an die Vitrinen, die ich hier früher gesehen habe.""",,,,,,,,,,,,,
string_ch03_Fifi_6004,“옛날? 누굴 떠올린 거야?”,“Old times? Who do they remind you of?”,“从前？你想起谁了？”,「從前？在想誰啊？」,「昔？誰を思い出したの？」,"""Alte Zeiten? An wen erinnern sie dich?""",,,,,,,,,,,,,
string_ch03_meow_6004,"“아, 아니야. 그냥… 오래된 기억이 났을 뿐이야.”","“Oh, no. It’s just… an old memory came to mind.”",“啊，不是。只是……突然想起陈年往事罢了。”,「啊，不是啦。只是…突然想起陳年往事罷了。」,「あ、違うよ。ただ…古い記憶がよみがえっただけさ。」,"""Ach, nichts. Es ist nur… eine alte Erinnerung kam mir in den Sinn.""",,,,,,,,,,,,,
string_ch03_Fifi_6005,"“자, 이제는 제대로 된 고급 카페야. 손님들 표정 좀 봐. 너한테 고마워하는 게 다 보인다.”","""Now, this is a proper high-class cafe. Look at the customers’ faces. you can see how grateful they are to you.”",“瞧，现在可是名副其实的高级咖啡馆了。看看客人们的表情，满脸都是对你的感激。”,「瞧，現在可是正經的高級咖啡廳了。看看客人們的臉色，滿滿都是對你的感激呢。」,「さあ、これで本格的な高級カフェだ。お客さんの表情を見てごらん。君に感謝しているのが全部わかるよ。」,"""Also das nenn ich ein richtiges Café. Guck dir die Gesichter der Kunden an. Man kann sehen, wie dankbar sie dir sind.""",,,,,,,,,,,,,
string_ch03_meow_6005,“흐음… 이렇게 활기찬 걸 보니까 기분이 묘해. 예전에도 이런 풍경을 본 적이 있거든.”,“Hmm… It feels strange to see such liveliness. I’ve seen this kind of scenery before.”,“嗯……看到这般热闹的景象，心情很复杂。以前也见过这样的场景呢。”,「嗯…看著這般熱鬧的景象，心情莫名複雜。畢竟以前也見過這樣的光景。」,「ふむ…こんなに活気あるのを見ると、妙な気分になる。昔もこんな光景を見たことがあるんだ。」,"""Hmm… es fühlt sich komisch an so viel Leben zu sehen. Diese Bild kommt mir bekannt vor.""",,,,,,,,,,,,,
string_ch03_Fifi_6006,“예전 얘기를 또 꺼내네. 점점 궁금해지는걸.”,“You’re bringing up old stories again. I’m getting more and more curious.”,“又提起往事了。我越来越好奇了。”,「又提起往事了。越來越好奇了呢。」,「また昔の話か。だんだん気になってきたよ。」,"""Du redest schon wieder von alten Geschichten. Ich werde immer neugieriger.""",,,,,,,,,,,,,
string_ch03_meow_6006,“…언젠가는 말할게. 아직은 정리할 수가 없어서.”,“…I’ll tell you someday. I just can’t put it into words yet.”,“…总有一天会说的。只是现在还没整理好思绪。”,「……總有一天會告訴你的。只是現在還無法整理清楚。」,「…いつか話すよ。まだ整理がつかなくて。」,"""… Ich werde es dir irgendwann erzählen. Ich kann es noch nicht ganz in Worte fassen.""",,,,,,,,,,,,,
string_ch03_Fifi_6007,"“좋아, 네가 숨기는 건 일단 묻어둘게. 대신 다음 목표는 확실히 정하자. 요즘같이 더울 때는 뭐가 필요할까?”","“Okay, I’ll leave your secret aside for now. Instead, let’s set our next goal. What do we need on a hot day like this?”",“行，你藏着的事先搁置。但下次目标得明确些。像最近这么热的天，需要什么呢？”,「好，你隱藏的事就先擱置。但下次目標得明確些。像最近這麼熱的天氣，需要什麼呢？」,「わかった、君の隠してることはとりあえず置いておくよ。代わりに次の目標はしっかり決めよう。最近みたいに暑い時は何が必要かな？」,"""Na gut, ich lass dein Geheimnis erstmal beiseite. Lass uns stattdessen unser nächstes Ziel setzen. Was brauchen wir an einem heißen Tag wie heute?""",,,,,,,,,,,,,
string_ch03_meow_6007,“음… 더울 땐 시원한 게 최고지. 아이스크림?”,"“Hmm… When it’s hot, something cool is the best. Ice cream?”",“嗯…热天当然要凉快的东西。冰淇淋？”,「嗯…熱的時候最需要涼爽的東西。冰淇淋？」,「うーん…暑い時は冷たいものが最高だよね。アイスクリーム？」,"""Hmm… wenn es heiß ist, ist etwas Kaltes am besten. Eiscreme?""",,,,,,,,,,,,,
string_ch03_Fifi_6008,"“정답. 아이스크림 가게가 열리면, 이 거리는 더운 날에도 가득 찰 거야.”","""Correct. When the ice cream shop opens, this street will be crowded even on hot days.""",“正解。等冰淇淋店开张，这条街就算大热天也会人满为患。”,「正解。冰淇淋店開張後，這條街就算在炎熱的日子也會人潮滿溢。」,「正解。アイスクリーム屋さんが開けば、この通りは暑い日でも人でいっぱいになるよ。」,"""Exakt! Wenn die Eisdiele öffnet, wird diese Straße sogar an heißen Tagen gefüllt sein.""",,,,,,,,,,,,,
string_ch03_meow_6008,"“후후, 그럼 또 새로운 도전을 준비해야겠네.”","“Haha, then I guess I’ll have to prepare for a new challenge.”",“呵呵，看来又要准备新挑战了呢。”,「呵呵，看來又要準備新挑戰了呢。」,「ふふ、じゃあまた新たな挑戦を準備しなきゃね」,"""Haha, dann muss ich mich wohl auf eine neue Herausforderung vorbereiten.""",,,,,,,,,,,,,
string_ch04_Fifi_6001,"“드디어 아이스크림 차례야. 쇼케이스, 파르페 코너… 여름의 필수품이지.”","""It's finally ice cream time. Showcase, parfait corner... a summer essential.""",“终于轮到冰淇淋了。展示柜、芭菲专区…都是夏天的必需品啊。”,「終於輪到冰淇淋登場了。展示櫃、芭菲專區…都是夏季必備品啊。」,「ついにアイスクリームの番だ。ショーケース、パフェコーナー…夏の必需品だよ」,"""Endlich ist Eiscremezeit. Kühltruhe, Parfait-Ecke... ein Muss für den Sommer.""",,,,,,,,,,,,,
string_ch04_meow_6001,"“맞아. 아이스크림이 있으면, 더운 날에도 모두가 환하게 웃을 거야.”","""That's right. With ice cream, everyone will smile brightly even on a hot day.""",“没错。有了冰淇淋，炎热的日子里大家都会绽放笑容。”,「沒錯。只要有冰淇淋，炎熱的日子裡大家都會綻放燦爛笑容。」,「そうだね。アイスクリームがあれば、暑い日でもみんなが明るく笑うはず」,"""Stimmt! Mit Eis wird jeder grinsen, sogar an heißen Tagen.""",,,,,,,,,,,,,
string_ch04_Fifi_6002,"“흐음, 네 말투가 벌써 스윗해졌네. 조심해, 아이스크림보다 네 말에 먼저 녹아버릴 것 같아.”","""Hmm, your tone is already sweet. Be careful, I think I'll melt from your words before the ice cream.""",“唔，你说话的语气已经变得甜腻了。小心啊，我怕会被你的话语融化，比冰淇淋还快呢。”,「嗯，你的語氣都甜膩起來了。小心啊，恐怕會比冰淇淋更早融化在你話語裡呢。」,「ふむ、君の口調がもう甘くなってるよ。気をつけて、アイスクリームより君の言葉に先に溶けちゃいそう」,"""Hmm, dein Ton ist schon süß. Pass auf, ich glaube ich schmelze vor dem Eis von deinen Worten.""",,,,,,,,,,,,,
string_ch04_meow_6002,“에이… 그런 농담은 못 당하겠네. 어쨌든 준비는 꼼꼼히 할 거야.”,"“Hey… I can’t take that kind of joke. Anyway, I’ll prepare thoroughly.”",“哎…这种玩笑可受不了。总之准备工作会做得很周全。”,「 哎…這種玩笑我可招架不住。總之準備工作會仔細做好的。」,「えー…そんな冗談は受け止められないよ。とにかく準備は入念にするつもりだ。」,"""Hey, ich kann diese Art von Scherz nicht ausstehen. Wie auch immer, ich werde mich sorgfältig vorbereiten.""",,,,,,,,,,,,,
string_ch04_Uni_6001,“아이스크림이라니! 이제 여름이 기다려지네요.”,“Ice cream! Now I can't wait for summer.”,“冰淇淋啊！现在就期待夏天了呢。”,「冰淇淋啊！現在就開始期待夏天了呢。」,「アイスクリームだなんて！もう夏が待ち遠しいですね。」,"""Eis! Jetzt kann ich den Sommer nicht erwarten.""",,,,,,,,,,,,,
string_ch04_Leo_6001,“좋아! 시원한 디저트로 힘을 충전해야겠어.”,“Okay! I need to recharge with a cool dessert.”,“好！得用清凉甜点补充能量才行。”,「好！得用冰涼甜點補充能量才行。」,「よし！冷たいデザートでエネルギーをチャージしなきゃ。」,"""Okay, ich muss mit einem kalten Dessert neue Energie tanken.""",,,,,,,,,,,,,
string_ch04_Bambi_6001,"“우와, 이제 정말 아이스크림 가게 같아요. 벌써 시원해지는 기분이에요!”","“Wow, it really feels like an ice cream shop now. I feel refreshed already!”",“哇，现在真的像冰淇淋店了。感觉已经凉快起来了！”,「哇，現在真的像冰淇淋店了。光看就覺得涼快起來！」,「わあ、もう本当にアイスクリーム店みたい。もう涼しくなってくる気分です！」,"""Wow, jetzt fühlt es sich wirklich wie eine Eisdiele an. Ich fühl mich schon erfrischt!""",,,,,,,,,,,,,
string_ch04_Kiki_6001,"“맞아요, 파르페가 더해지면 친구들이랑 꼭 같이 와야겠어요!”","“Yes, with the addition of parfait, I definitely have to come with my friends!”",“对啊，等加了芭菲，一定要和朋友们一起来！”,「沒錯，加上芭菲的話一定要和朋友們一起來！」,「そうね、パフェも加わったら友達と一緒に絶対来なきゃ！」,"""Ja, und weil es jetzt Parfait gibt, muss ich unbedingt mit meinen Freunden kommen!""",,,,,,,,,,,,,
string_ch04_Fifi_6003,“손님들 보니까 반만 완성해도 벌써 성공한 느낌이네.”,"“Seeing the customers, I feel like I’ve already succeeded even though I’m only halfway done.”",“看着客人们的反应，就算只完成一半也感觉成功了呢。”,「看著客人們，光完成一半就感覺已經成功了呢。」,「お客さんたちを見ると、半分完成しただけでももう成功した気分だわ。」,"""Wenn ich die Kunden sehe, bekomme ich das Gefühl ich habe es schon geschafft, obwohl ich erst halbfertig bin.""",,,,,,,,,,,,,
string_ch04_meow_6003,“응… 웃음을 주는 건 언제나 작은 시작에서부터니까.”,“Yeah… Because laughter always starts from small beginnings.”,“嗯…带来笑容的事，总是从微小的开始。”,「嗯…帶來歡笑的事物，總是從微小開始的。」,「うん…笑顔を届けるのは、いつだって小さな始まりからだから。」,"""Ja, ein Lächeln zu schenken, beginnt immer mit einem kleinen Anfang.""",,,,,,,,,,,,,
string_ch04_Fifi_6004,“또 그런 말투다. 이쯤 되면 네 ‘작은 시작’이 뭔지 궁금해 죽겠거든?”,"""That tone again. At this point, I'm dying to know what your 'small beginning' is.""",“又是这种说话方式。说到这种程度，我简直好奇得要死你的‘微小开始’到底是什么？”,「又是這種說話方式。說到這裡，我簡直好奇得要死，你的『微小開始』究竟是什麼？」,「またその口調ね。ここまで来ると、君の『小さな始まり』が何か気になって仕方ないのよ？」,"""Dieser Ton schon wieder. Jetzt sterbe ich echt vor Neugier, zu erfahren, was dein 'kleiner Anfang' ist.""",,,,,,,,,,,,,
string_ch04_meow_6004,“하하… 언젠간 알게 될 거야.”,“Haha… you’ll find out someday.”,“哈哈…总有一天你会知道的。”,「哈哈…總有一天你會知道的。」,「はは…いつか分かるよ。」,"""Haha… du wirst es irgendwann erfahren.""",,,,,,,,,,,,,
string_ch04_Fifi_6005,"“완성! 이제 여름이면 이 거리가 시원한 명소로 불리겠지. 그런데 넌, 왜 한 번씩 가게를 바라볼 때마다 조금은… 그리운 표정을 짓는 거야?”",“All done! Now this street will be known as a cool summer spot. But why do you always have that slightly… nostalgic look whenever you glance at the shop?”,“完成！夏天来临后，这条街肯定会成为清凉胜地吧。不过你啊，为什么每次望向店铺时，总带着些许……怀念的神情呢？”,「完成！夏天時這條街肯定會被稱為涼爽景點吧。不過你啊，為什麼每次望向店鋪時，總帶著幾分…懷念的神情呢？」,「完成！夏になれば、この通りは涼しい名所と呼ばれるだろうね。でも君は、どうして店を見るたびに少し…懐かしい表情をするんだ？」,"""Fertig! Jetzt wird diese Straße als kühler Sommerort bekannt werden. Aber warum hast du immer diesen irgendwie… nostalgischen Blick wenn du den Laden ansiehst?""",,,,,,,,,,,,,
string_ch04_meow_6005,"“…사실, 여기에 내게 아주 소중한 기억이 있어. 그 기억이 나를 자꾸 이끌어.”","“…Actually, there’s a very precious memory here for me. That memory keeps drawing me back.”",“……其实，这里藏着我最珍贵的回忆。那段记忆总在牵引着我。”,「…其實，這裡藏著我最珍貴的回憶。那份記憶總是不斷牽引著我。」,「…実は、ここに僕にとってとても大切な思い出があるんだ。その思い出が僕を何度も引き寄せるんだ。」,"""… Es gibt hier wertvolle Erinnerungen für mich. Diese Erinnerung holt mich immer wieder ein."" ",,,,,,,,,,,,,
string_ch04_Fifi_6006,"“역시 있었구나. 알겠어, 지금은 더 묻지 않을게. 하지만 언젠간 들려줘. 너 혼자 안고 있기엔 아까운 이야기 같으니까.”","""I see. I understand. I won't ask any more questions right now. But please tell me sometime. It's a story too precious to keep to yourself.""",“果然有故事啊。明白了，现在不追问了。但总有一天要听我说。毕竟这故事珍贵得不该独自珍藏。”,「果然有故事啊。明白了，現在不追問了。但總有一天要聽你說說。這般珍貴的故事，獨自埋藏實在可惜。」,「やっぱりあったんだね。わかった、今はこれ以上聞かないよ。でもいつか話してくれ。君一人で抱え込むには惜しい話だから。」,"""Verstehe. Ich werde erstmal nicht mehr weiterfragen. Aber bitte erzähl es mir irgendwann. Die Geschichte ist zu wertvoll, um sie für dich zu behalten.""",,,,,,,,,,,,,
string_ch04_Fifi_6007,“차가운 건 충분해.”,Our menu already has plenty of cold options.,“冷饮已经够多了。”,「冷食已經夠多了。」,「冷たいものは十分だ」,"""Genug Kaltes.""",,,,,,,,,,,,,
string_ch04_meow_6006,“이제 따뜻한 걸 올릴 차례.”,“Now it’s time to bring something warm.”,“该轮到热饮登场了。”,「該輪到溫暖的東西登場了。」,「次は温かいものを出す番だ」,"""Jetzt ist es Zeit für etwas Warmes.""",,,,,,,,,,,,,
string_ch04_Fifi_6008,“그렇다면 역시?”,“So then?”,“那果然是？”,「那果然是？」,「じゃあやっぱり？」,"""Also?""",,,,,,,,,,,,,
string_ch04_meow_6007,“빵집이지.”,“It’s a bakery.”,“面包店。”,「麵包店。」,「パン屋だよ」,"""Eine Bäckerei.""",,,,,,,,,,,,,
string_ch04_Fifi_6009,“좋아! 다음은 빵집이야! 이번에도 열심히 해보자!”,"""Okay! Next up is the bakery! Let's work hard this time too!""",“太好！下一站就是面包店！这次也要加油哦！”,「太好了！下個是麵包店！這次也要加油喔！」,「よし！次はパン屋だ！今回も頑張ろう！」,"""Okay! Als nächstes die Bäckerei! Lass uns auch diesmal alles geben!""",,,,,,,,,,,,,
string_ch05_Fifi_6001,"“드디어 제대로 된 빵집 차례야. 식빵, 크루아상, 바게트… 아침마다 사람들이 찾아올걸.”","""It's finally time for a proper bakery. Bread, croissants, baguettes... People will come every morning.""",“终于轮到正经面包店了。吐司、可颂、法棍……每天早晨都会有人光顾吧。”,「終於輪到正經的麵包店了。吐司、可頌、法棍…每天早晨都會有人來光顧吧。」,「ついにちゃんとしたパン屋の番だ。食パン、クロワッサン、バゲット…毎朝、人が訪れるだろう」,"""Es ist endlich Zeit für eine richtige Bäckerei. Brot, Croissants, Baguettes... Die Leuten werden jeden Morgen herkommen.""",,,,,,,,,,,,,
string_ch05_meow_6001," “응, 빵 냄새가 거리를 채우면 하루를 여는 이유가 되겠지.”","“Yeah, if the smell of bread fills the streets, it’ll be a reason to start the day.”",“嗯，当面包香气弥漫街头，就会成为开启一天的理由呢。”,「嗯，當麵包香氣充滿街道時，就成了開啟一天的理由呢。」,「うん、パンの香りが街を満たせば、一日を始める理由になるだろうね。」,"""Ja, wenn der Duft von Brot die Straßen füllt, gibt es einen Grund den Tag zu beginnen.""",,,,,,,,,,,,,
string_ch05_Fifi_6002,“너답다. 다른 사람은 그냥 ‘배고파서 먹는다’ 할 텐데.”,"“That’s so like you. Most people would simply say, ‘I’m eating because I’m hungry.’”",“真像你啊。别人只会说‘饿了就吃’。”,「很像你。別人大概只會說『餓了就吃』吧。」,「君らしいね。他の人はただ『お腹が空いたから食べる』って言うだろうけど。」,"""Das ist typisch Du. Die meisten Leute würden einfach sagen, 'Ich esse, weil ich Hunger habe.'""",,,,,,,,,,,,,
string_ch05_meow_6002,"“후후, 꼼꼼하게 준비해야 오래 사랑받는 빵이 되니까.”","“Haha, you have to prepare it carefully to make bread that will be loved for a long time.”",“呵呵，只有精心准备才能成为经久不衰的面包。”,「呵呵，只有仔細準備才能成為長久受人喜愛的麵包。」,「ふふ、しっかり準備しないと長く愛されるパンにはなれないからね。」,"""Haha, man muss es sorgfältig zubereiten, um Brot zu backen, dass lange beliebt sein wird.""",,,,,,,,,,,,,
string_ch05_Lulu_6001,"“안녕~ 소문 듣고 왔어! 이번엔 빵집이라니, 진짜 기대돼!”",“Hello~ I heard the rumors! This time it’s a bakery. I’m really looking forward to it!”,“你好呀~听闻盛名专程而来！这次居然是面包店，太期待了！”,「嗨～聽說了就跑來了！這次居然是麵包店，超期待的！」,「やあ～噂を聞いて来たよ！今度はパン屋だなんて、本当に楽しみ！」,"""Hello! Ich habe die Grüchte gehört! Diesmal ist es eine Bäckerei. Ich freue mich sehr darauf!""",,,,,,,,,,,,,
string_ch05_Bambi_6001,“킁킁… 벌써 구워지는 냄새가 나는 것 같아. 아침마다 오고 싶네.”,“Sniff sniff… I can already smell it baking. I want to come here every morning.”,“嗡嗡…好像已经闻到烘烤的香气了。真想每天早晨都来呢。”,「嗤嗤…好像已經聞到烘烤的香氣了。真想每天早晨都來呢。」,「クンクン…もう焼ける匂いがするみたい。毎朝来たいな。」,"""Riech riech... Ich kann schon riechen, wie es backt. Ich möchte jeden Morgen hierher kommen.""",,,,,,,,,,,,,
string_ch05_Uni_6001,“길거리에 빵 향기가 퍼지니까 그냥 걷는 것만으로도 기분이 좋아~!”,"“The smell of bread fills the streets, so just walking makes me feel good.""",“街头弥漫着面包香，光是散步就让人心情愉悦~！”,「整條街飄散著麵包香氣，光是散步就讓人心情愉悅呢~！」,「通りにパンの香りが漂うから、ただ歩くだけでも気分がいい～！！」,"""Der Duft  von Brot füllt die Straßen, deshalb fühl ich mich schon gut hier nur entlangzulaufen.""""",,,,,,,,,,,,,
string_ch05_Milo_6001,"“흐음… 막 나온 식빵, 생각보다 괜찮네. 매일 먹어도 질리지 않겠다.”",“Hmm… Freshly baked bread is better than I thought. I could eat it every day without getting tired of it.”,“嗯…刚出炉的吐司，比想象中更美味。每天吃也不会腻吧。”,「嗯…剛出爐的吐司意外地美味。每天吃都不會膩吧。」,「ふむ…焼きたての食パン、思ったより悪くないね。毎日食べても飽きないだろう。」,"""Hmm... frisch gebackenes Brot ist besser, als ich dachte. Ich könnte es jeden Tag essen, ohne es satt zu haben.""",,,,,,,,,,,,,
string_ch05_Ollie_6001,“이 거리가 점점 달라지네요. 이제는 아침에 꼭 들러야 할 것 같아요.”,"""This street is changing so much. I think I'll definitely stop by in the morning from now on.""",“这条街越来越不一样了。现在早上必须来逛逛才行。”,「這條街正逐漸改變呢。現在感覺早晨非得來此一趟不可。」,「この通り、どんどん変わってきますね。これからは朝必ず寄らなきゃいけませんね。」,"""Diese Straße verändert sich doll. Ich decke, ich werde ab jetzt auf jeden Fall morgens vorbeikommen.""",,,,,,,,,,,,,
string_ch05_Fifi_6003,"“봐, 반쯤 완성됐는데도 손님들이 벌써 단골처럼 굴잖아.”","“Look, it’s only half finished, but the customers are already acting like regulars.”",“看，还没完全开张，客人就当成老主顾似的。”,「你看，才半成品階段，客人們就已經像熟客般光顧了。」,「ほら、半分も完成してないのに、お客さんたちがもう常連みたいに振る舞ってるよ。」,"""Guck, es ist noch gar nicht fertig, aber die Kunden sind schon wie Stammkunden.""",,,,,,,,,,,,,
string_ch05_meow_6003,"""저분들은 원래 단골 아니었어....?""","""They weren't regulars originally...?""",“他们本来就是老主顾不是吗....?”,「那些人原本就不是常客嗎...？」,「あの人たち、元々常連じゃなかったの…？」,"""Waren sie am Anfang keine Stammkunden...?""",,,,,,,,,,,,,
string_ch05_Fifi_6004,"""........그런가....?""","""........Is that so....?""",“........是这样吗....?”,「........是這樣嗎....？」,「……そうだったかな…？」,"""....ist das so...?""",,,,,,,,,,,,,
string_ch05_Fifi_6005,“이제 진짜 빵집이 완성됐네. 사람들이 아침마다 네 빵을 사 가서 하루를 시작하잖아.”,"""Now you have a real bakery. People start their day by buying your bread every morning.""",“现在才算真正的面包店呢。人们每天早晨买你的面包开启新的一天啊。”,「現在真正的麵包店終於完成啦。人們每天早晨買你的麵包開啟一天呢。」,「これで本当にパン屋が完成したね。人々が毎朝君のパンを買って、一日を始めるんだ。」,"""Jetzt hast du eine echte Bäckerei. Die Leute beginnen ihren Tag damit, jeden Morgen dein Brot zu kaufen.""",,,,,,,,,,,,,
string_ch05_meow_6004,"“…그래. 이 풍경, 낯설지 않아. 어릴 적에도… 할아버지 가게에서 이렇게 빵 냄새로 하루가 시작되곤 했어.”",“…Yes. This scenery is familiar. Even when I was little… my day would start like this with the smell of bread from my grandfather’s shop.”,“……是啊。这景象并不陌生。小时候……爷爷的店里也常这样，用面包香气开启一天。”,「…是啊。這幅光景並不陌生。小時候…在爺爺的店裡，也是這樣用麵包香氣開啟每一天的。」,「…そうだな。この光景、見覚えがある。子供の頃も…おじいちゃんの店で、こんな風にパンの香りで一日が始まったものだ。」,"""...Ja. Dieses Bild kommt mir bekannt vor. Auch als ich klein war, hat mein Tag so begonnen, mit dem Duft von Brot aus dem Laden meines Großvaters.""",,,,,,,,,,,,,
string_ch05_Fifi_6006,"“…드디어 힌트라도 줬네. 네가 왜 이 거리에 매달리는지, 조금은 알 것 같아.”",“…You finally gave me a hint. I think I understand a little why you’re so obsessed with this street.”,“……总算透露点线索了。我大概明白你为何执着于这条街了。”,「…總算給點提示了。我大概明白你為何執著於這條街了。」,「…ようやくヒントをくれたな。君がこの通りにこだわる理由が、少しは分かった気がする。」,"""...Du hast mir endlich einen Hinweis gegeben. Ich denke, ich verstehe ein bisschen, warum du so auf diese Straße fixiert bist.""",,,,,,,,,,,,,
string_ch05_meow_6005,“응… 그때의 웃음을 다시 되찾고 싶어. 그래서 멈출 수가 없어.”,“Yeah… I want that smile back. That’s why I can’t stop.”,“嗯……我想找回当年的笑容。所以停不下来。”,「嗯…我想找回當年的笑容。所以無法停下腳步。」,「うん…あの頃の笑顔を取り戻したいんだ。だからやめられない。」,"""Ja... ich möchte dieses Lachen zurück. Deshalb kann ich nicht aufhören.""",,,,,,,,,,,,,
string_ch05_Fifi_6007,"“좋아, 이제 빵집까지 완성됐으니 거리가 더 북적이겠지. 그런데 말이야… 이 활기를 계속 유지하려면 뭔가 색다른 게 필요할지도 몰라.”","""Good, now that the bakery is finished, the streets will be even busier. But... to keep this liveliness going, we might need something a little different.""",“好，面包店建成了，街道应该会更热闹吧。不过啊…要维持这份活力，或许需要些新花样。”,「好，既然麵包店也完工了，街道應該會更熱鬧吧。不過啊…要維持這股活力，或許需要些新意。」,「よし、これでパン屋も完成したから、通りはもっと賑わうだろうね。でもさ…この活気を維持するには、何か新しいものが必要かも」,"""Gut! Jetzt wo die Bäckerein fertig ist, werden die Straßen noch voller. Aber...um diese Belebtheit aufrechtzuerhalten, brauchen wir etwas, dass ein bisschen anders ist.""",,,,,,,,,,,,,
string_ch05_meow_6006,“색다른 거라면… 세계 각국의 맛? 피자나 파스타 같은 건 어떨까?”,"""If it's something different... how about flavors from around the world? How about pizza or pasta?""",“新花样的话…世界各国风味？披萨或意面之类的如何？”,「新奇的東西嘛…世界各國風味？披薩或義大利麵之類的如何？」,「新しいものって…世界各国の味？ピザやパスタとかどう？」,"""Etwas anderes... wie wäre es mit Geschmäckern aus aller Welt? Wie wäre es mit Pizza oder Pasta?""",,,,,,,,,,,,,
string_ch05_Fifi_6008,“그거 괜찮은데?  글로벌한 메뉴라면 젊은 손님들이 친구들이랑 몰려올 거야. 이제 이 거리도 세계의 맛으로 가득 차겠네.,"""That's great. If the menu is global, young customers will flock here with their friends. Now, this street will be filled with flavors from around the world.""",“这个不错！全球化菜单的话，年轻顾客会和朋友们成群结队来光顾。这条街也要充满世界风味了呢。,「這主意不錯？全球化菜單的話，年輕客人會和朋友們成群結隊前來。這條街也即將充滿世界的滋味了。」,「それいいかも？グローバルなメニューなら若いお客さんが友達と群がってくるよ。これでこの通りも世界の味でいっぱいになるね」,"""Das ist super! Wenn das Angebot global ist, werden junge Leute mit ihren Freunden herbeiströmen. Jetzt wird diese Straße mit Geschmäckern aus aller Welt gefüllt.""",,,,,,,,,,,,,
string_ch05_meow_6007,"“후후, 그럼 다음은 피자집이다. 이번엔 웃음소리에 세계의 향기를 더해보자.”","""Haha, next up is the pizza place. This time, let's add the scent of the world to the sound of laughter.""",“呵呵，那接下来就开披萨店吧。这次要让欢声笑语中飘散世界的香气。”,「呵呵，那麼下個目標就是披薩店。這次就讓歡笑聲中瀰漫世界的香氣吧。」,「ふふ、じゃあ次はピザ屋だ。今度は笑い声に世界の香りを添えてみよう」,"""Haha, als nächstes die Pizzeria. Lass uns jetzt den Duft der Welt zum Klang des Lachens hinzufügen.""",,,,,,,,,,,,,
